0.3	535.9
0.305	558.3
0.31	622
0.315	692.7
0.32	715.1
0.325	832.9
0.33	961.9
0.335	931.9
0.34	900.6
0.345	911.3
0.35	975.5
0.36	975.9
0.37	1119.9
0.38	1103.8
0.39	1033.8
0.4	1479.1
0.41	1701.3
0.42	1740.4
0.43	1587.2
0.44	1837
0.45	2005
0.46	2043
0.47	1987
0.48	2027
0.49	1896
0.5	1909
0.51	1927
0.52	1831
0.53	1891
0.54	1898
0.55	1892
0.57	1840
0.593	1768
0.61	1728
0.63	1658
0.656	1524
0.6676	1531
0.69	1420
0.71	1399
0.718	1374
0.7244	1373
0.747	1298
0.7525	1269
0.7575	1245
0.7625	1223
0.7675	1205
0.78	1183
0.8	1148
0.816	1091
0.8257	1062
0.8315	1038
0.84	1022
0.86	998.7
0.88	947.2
0.905	893.2
0.915	868.2
0.925	829.7
0.93	830.3
0.937	814
0.948	786.9
0.965	768.3
0.98	767
0.9935	757.6
1.04	688.1
1.07	640.7
1.1	606.2
1.12	585.9
1.13	570.2
1.145	564.1
1.161	544.2
1.17	533.4
1.2	501.6
1.24	477.5
1.27	422.7
1.29	440
1.32	416.8
1.35011	391.4
1.395	358.9
1.4425	327.5
1.4625	317.5
1.477	307.3
1.497	300.4
1.52	292.8
1.539	275.5
1.558	272.1
1.578	259.3
1.592	246.9
1.61	244
1.63	243.5
1.646	234.8
1.678	220.5
1.74	190.8
1.8	171.1
1.86	144.5
1.92	135.7
1.96	123
1.985	123.8
2.005	113
